指标,排名,股票代码,股票名称,行业,指标值,单位,排序方向,说明
总市值最大,1,688825.SH,长鑫科技,半导体,38354.52,亿元,DESC,规模指标，不代表投资质量
总市值最大,2,601398.SH,工商银行,全国性银行,29047.11,亿元,DESC,规模指标，不代表投资质量
总市值最大,3,601939.SH,建设银行,全国性银行,29011.48,亿元,DESC,规模指标，不代表投资质量
总市值最大,4,601288.SH,农业银行,全国性银行,24673.81,亿元,DESC,规模指标，不代表投资质量
总市值最大,5,600941.SH,中国移动,电信服务,21663.36,亿元,DESC,规模指标，不代表投资质量
总市值最大,6,601988.SH,中国银行,全国性银行,21491.57,亿元,DESC,规模指标，不代表投资质量
总市值最大,7,601857.SH,中国石油,油气开采,20919.3,亿元,DESC,规模指标，不代表投资质量
总市值最大,8,300750.SZ,宁德时代,电池,16568.05,亿元,DESC,规模指标，不代表投资质量
总市值最大,9,600938.SH,中国海油,油气开采,16402.59,亿元,DESC,规模指标，不代表投资质量
总市值最大,10,600519.SH,贵州茅台,酿酒,16245.56,亿元,DESC,规模指标，不代表投资质量
总市值最大,11,601138.SH,工业富联,消费电子,12489.87,亿元,DESC,规模指标，不代表投资质量
总市值最大,12,601628.SH,中国人寿,保险,11043.02,亿元,DESC,规模指标，不代表投资质量
总市值最大,13,688981.SH,中芯国际,半导体,10796.35,亿元,DESC,规模指标，不代表投资质量
总市值最大,14,601088.SH,中国神华,煤炭开采,10476.0,亿元,DESC,规模指标，不代表投资质量
总市值最大,15,601318.SH,中国平安,保险,10363.0,亿元,DESC,规模指标，不代表投资质量
总市值最大,16,600036.SH,招商银行,全国性银行,10304.83,亿元,DESC,规模指标，不代表投资质量
总市值最大,17,300308.SZ,中际旭创,通信设备,10121.78,亿元,DESC,规模指标，不代表投资质量
总市值最大,18,601899.SH,紫金矿业,工业金属,8969.05,亿元,DESC,规模指标，不代表投资质量
总市值最大,19,002594.SZ,比亚迪,乘用车,8087.87,亿元,DESC,规模指标，不代表投资质量
总市值最大,20,688256.SH,寒武纪,半导体,6973.99,亿元,DESC,规模指标，不代表投资质量
流通市值最大,1,601288.SH,农业银行,全国性银行,22506.72,亿元,DESC,规模指标，不代表投资质量
流通市值最大,2,601398.SH,工商银行,全国性银行,21973.4,亿元,DESC,规模指标，不代表投资质量
流通市值最大,3,601857.SH,中国石油,油气开采,18507.69,亿元,DESC,规模指标，不代表投资质量
流通市值最大,4,600519.SH,贵州茅台,酿酒,16245.56,亿元,DESC,规模指标，不代表投资质量
流通市值最大,5,300750.SZ,宁德时代,电池,15255.35,亿元,DESC,规模指标，不代表投资质量
流通市值最大,6,601988.SH,中国银行,全国性银行,14058.06,亿元,DESC,规模指标，不代表投资质量
